,flight_id,timestamp,onground,callsign,altitude,geoaltitude,latitude,longitude,groundspeed,vertical_rate,distance,hour,icao24,last_position,lastseen,origin,spi,squawk,track,alert,day,firstseen,destination
15,DLH1P_48,2022-05-09 08:22:49+00:00,False,DLH1P,850.0,1350.0,50.10354995727539,14.25468846371299,96.0,192.0,408.0923520853589,2022-05-09 08:00:00+00:00,3c6544,2022-05-09 08:22:38.232000+00:00,2022-05-09 09:18:16+00:00,LKPR,False,1000,126.5110561194953,False,2022-05-09 00:00:00+00:00,2022-05-09 08:22:49+00:00,EDDF
16,DLH1Y_54,2022-05-09 18:19:03+00:00,False,DLH1Y,-100.0,275.0,50.90962038201801,4.4927978515625,107.0,64.0,302.1192002346031,2022-05-09 18:00:00+00:00,3c5465,2022-05-09 18:18:58.008999936+00:00,2022-05-09 18:56:59+00:00,EBMB,False,1000,245.6005640758249,False,2022-05-09 00:00:00+00:00,2022-05-09 18:19:03+00:00,EDDF
17,DLH201_56,2022-05-09 17:55:37+00:00,True,DLH201,-125.0,300.0,52.35080783650027,13.48848397391183,96.0,64.0,430.85547994644753,2022-05-09 17:00:00+00:00,3c64ad,2022-05-09 17:54:57.051000064+00:00,2022-05-09 18:47:26+00:00,EDDB,False,1000,68.53234856090101,False,2022-05-09 00:00:00+00:00,2022-05-09 17:55:37+00:00,EDDF
18,DLH28J_68,2022-05-09 16:43:56+00:00,False,DLH28J,900.0,1275.0,43.63687133789062,1.358025129451308,161.0,2816.0,894.5882801435048,2022-05-09 16:00:00+00:00,3c6657,2022-05-09 16:43:55.658999808+00:00,2022-05-09 18:19:59+00:00,LFBO,False,1000,322.561428427667,False,2022-05-09 00:00:00+00:00,2022-05-09 16:43:33+00:00,EDDF
19,DLH2CX_73,2022-05-09 17:12:05+00:00,False,DLH2CX,-125.0,350.0,52.35362424688824,13.50298200334822,150.0,896.0,431.84200730365296,2022-05-09 17:00:00+00:00,3c6495,2022-05-09 17:11:57.447000064+00:00,2022-05-09 18:05:55+00:00,EDDB,False,1000,68.9076604941725,False,2022-05-09 00:00:00+00:00,2022-05-09 17:12:05+00:00,EDDF
20,DLH2EL_75,2022-05-09 08:00:25+00:00,False,DLH2EL,50.0,650.0,55.59375,12.60547984730113,166.0,1664.0,676.0783229703028,2022-05-09 08:00:00+00:00,3c6498,2022-05-09 08:00:24.851000064+00:00,2022-05-09 09:09:12+00:00,EKCH,False,746,222.0643265535788,False,2022-05-09 00:00:00+00:00,2022-05-09 08:00:16+00:00,EDDF
21,DLH2J_76,2022-05-09 09:35:30+00:00,False,DLH2J,575.0,1050.0,49.02296447753906,2.558617225060096,147.0,2432.0,445.0646566604324,2022-05-09 09:00:00+00:00,3c6444,2022-05-09 09:35:29.763000064+00:00,2022-05-09 10:25:15+00:00,LFPG,False,1000,86.49646835521554,False,2022-05-09 00:00:00+00:00,2022-05-09 09:35:30+00:00,EDDF
22,DLH2VL_88,2022-05-09 17:07:17+00:00,False,DLH2VL,450.0,900.0,52.15168063923464,20.97941371372768,152.0,2688.0,898.9441941979,2022-05-09 17:00:00+00:00,3c66ab,2022-05-09 17:07:16.996000+00:00,2022-05-09 18:33:55+00:00,EPWA,False,1000,151.7502645050257,False,2022-05-09 00:00:00+00:00,2022-05-09 17:07:10+00:00,EDDF
23,DLH2VR_89,2022-05-09 13:27:03+00:00,False,DLH2VR,275.0,700.0,52.15480041503906,20.97663879394531,158.0,2560.0,898.8200932206728,2022-05-09 13:00:00+00:00,3c65cb,2022-05-09 13:27:02.660000+00:00,2022-05-09 14:46:56+00:00,EPWA,False,2557,152.4611766504245,False,2022-05-09 00:00:00+00:00,2022-05-09 13:27:01+00:00,EDDF
24,DLH2WU_91,2022-05-09 09:09:36+00:00,False,DLH2WU,-250.0,300.0,52.34892247086864,13.48297119140625,132.0,64.0,430.42867494495897,2022-05-09 09:00:00+00:00,3c6671,2022-05-09 09:09:19.220999936+00:00,2022-05-09 09:58:26+00:00,EDDB,False,520,69.08745230863231,False,2022-05-09 00:00:00+00:00,2022-05-09 09:09:36+00:00,EDDF
